date,workerid,amount
Mon May 25 16:30:04 PDT 2015,AKM7BAAH9OPGW,1.25
Mon May 25 16:30:14 PDT 2015,A1NS16PLRPJ3YW,1.25
Mon May 25 16:30:51 PDT 2015,ALEJV7D94ZLHF,1.25
Mon May 25 16:30:57 PDT 2015,A1FBO95OVBYOH1,1.25
Mon May 25 16:31:31 PDT 2015,A3CX0FEE5MER9E,1.25
Mon May 25 16:31:37 PDT 2015,A1FTGHYEU1T71Y,1.25
Mon May 25 16:31:50 PDT 2015,A1KFP5MDIL0QN1,1.25
Mon May 25 16:31:57 PDT 2015,AZ9BZONG644TU,1.25
Mon May 25 16:31:58 PDT 2015,A9LSEP71DNP4O,1.25
Mon May 25 16:32:21 PDT 2015,A2MCG5W6LHSRG9,1.25
Mon May 25 16:33:27 PDT 2015,AZBKV62E0PLC2,1.25
Mon May 25 16:33:33 PDT 2015,A2NZ7RMSBXESNI,1.25
Mon May 25 16:34:18 PDT 2015,A5EU1AQJNC7F2,1.25
Mon May 25 16:35:35 PDT 2015,A1J2SF4IQEQ5OP,1.25
Mon May 25 16:36:23 PDT 2015,A1F1BIPJR11LSR,1.25
Mon May 25 16:36:27 PDT 2015,A3P74FP62XNVYI,1.25
Mon May 25 16:48:24 PDT 2015,A1ING769NXJIHR,1.25
Mon May 25 16:48:24 PDT 2015,A3FOKP72T5I4FR,1.25
Mon May 25 17:10:31 PDT 2015,A3OZ8KF0HWSVWK,1.25
Mon May 25 17:11:55 PDT 2015,A2S3MXU8T2I5H0,1.25
,total paid to workers:,=SUM(c2:c21)
,10% paid to Amazon:,=.1*c22
,total:,=SUM(c22:c23
