workerid	language	enjoyment	gender	age	comments	asses	education
0	English, Japanese	1	Female	21		Yes	2
1	English	2	Female	35		Yes	4
2	English	2	Female	42	thanks	Yes	2
3	English	2	Male	24		Yes	2
4		2				NA	-1
5	english	2	Female	34		Yes	3
6	English	2	Male	35	great	No	3
7	English	2	Male	32	fun task	Yes	2
8	English	2	Male	36		Yes	3
9	english	1	Male	41		Yes	3
10	English	1	Male	22		Yes	3
11	English	2	Male	27		Yes	3
12	English	2	Male	28		Yes	3
13	English, Polish	2	Female	20		Yes	2
14	English	2	Male	21		Yes	2
15	English	2	Male	25		Yes	2
16	English	2	Male	35	That was interesting; thanks!	Yes	3
17	English	2	Male	59	I have no comments or suggestions.	Yes	2
18	english	1	Female	40		Yes	3
19	English	2	Male	37	Very interesting study.  Thanks	Yes	2
20	english	1	Male	32		NA	3
21	english	1	Female	50	no	Yes	1
22	English	1	Male	24		No	3
23	English	1	Male	23		Yes	3
24	english	2	Male	51	hit was fun	Yes	3
