iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546220941538	0	overlap	4D,3D	9C,3D	Where is the 4 of diamonds?	3093	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546220969093	0	overlap	4D,3D	9C,3D	Where is the where is the 3 of diamonds?	6565	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221012749	1	overlap	KH,4S	QD,4S	Where is the Where is the king of hearts?	14372	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221072669	2	baseline	KS,QS	KC,AH	Where is the the ace of hearts?	4758	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221094209	2	baseline	KS,QS	KC,AH	Where is the king of spades?	3868	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221111610	2	baseline	KS,QS	KC,AH	Where is the queen of spades?	3692	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221131672	3	catch	5S	2S	Where is the Where is the five of spades??	5062	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221150375	4	catch	8C	6H	Where is the 8 of clubs?	3244	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221173354	5	baseline	JC,3C	2D,6S	Where is the Where is the jack of clubs??	7385	chatMessage
full_sample	3185-309ce3a4-537d-4b81-9b1d-e045d36034f7	1546221191003	5	baseline	JC,3C	2D,6S	Where is the where is the three of clubs??	4334	chatMessage
