iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231034499	0	catch	6C	6H	Where is the Six of clubs?	7225	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231073249	1	catch	JH	AS	Where is the jack of hearts?	6486	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231109060	2	overlap	9C,5D	AS,5D	Where is the Five of diamonds ?	9784	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231156002	3	overlap	KD,9S	JS,9S	Where is the nine of spades?	4723	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231206996	3	overlap	KD,9S	JS,9S	Where is the king of dimonds?	6099	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231240499	4	baseline	7C,7D	4D,3H	Where is the Seven of clubs?	9834	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231296893	4	baseline	7C,7D	4D,3H	Where is the 3 of hearts?	3748	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231448385	4	baseline	7C,7D	4D,3H	Where is the 7 of diamonds ?	7713	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231487267	4	baseline	7C,7D	4D,3H	Where is the 7 of clubs (sorry I think I messed us up earlier!) ?	22572	chatMessage
full_sample	8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d	1546231526051	5	baseline	3S,8C	3C,2S	Where is the (totally my fault) eight of clubs three of spades?	21232	chatMessage
