iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	trueGoal	cellAskedAbout	goalResponse	gridState	eventType
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787722260	1	practice	1	leader	rows	C3	columns	{"safe":["C1","C2"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787760947	3	random	1	leader	columns	A2	rows	{"safe":["A1","B2","C2"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787814596	5	random	1	leader	columns	A3	columns	{"safe":["B3","C3"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787857971	7	random	1	leader	columns	C3	rows	{"safe":["A2","A3","B2","B3","C1"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787905106	9	random	1	leader	columns	B3	rows	{"safe":["A3","B1","C2"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787927082	9	random	2	leader	columns	A1	columns	{"safe":["A3","B1","C2","B3"],"unsafe":["C3"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787939346	9	random	3	leader	columns	C1	columns	{"safe":["A3","B1","C2","B3","A1"],"unsafe":["C3"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550787972346	11	random	1	leader	columns	A2	columns	{"safe":["B1","C2","C3"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788003698	11	random	2	leader	columns	A1	columns	{"safe":["B1","C2","C3","C1"],"unsafe":["A2"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788032570	11	random	3	leader	columns	A3	columns	{"safe":["B1","C2","C3","C1"],"unsafe":["A2","A1","B2"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788043993	11	random	4	leader	columns	B3	columns	{"safe":["B1","C2","C3","C1","A3"],"unsafe":["A2","A1","B2"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788095969	13	pragmatic	1	leader	columns	A1	columns	{"safe":["B1"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788116633	13	pragmatic	2	leader	columns	C1	columns	{"safe":["B1","A1"],"unsafe":["A2"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788162937	15	empty	1	leader	rows	B1	columns	{"safe":[],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788188081	15	empty	2	leader	rows	B2	rows	{"safe":["B1"],"unsafe":["A1"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788203241	15	empty	3	leader	rows	C1	rows	{"safe":["B1","B2"],"unsafe":["A1","B3"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788210136	15	empty	4	leader	rows	C3	rows	{"safe":["B1","B2","C1"],"unsafe":["A1","B3"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788217722	15	empty	5	leader	rows	C2	rows	{"safe":["B1","B2","C1","C3"],"unsafe":["A1","B3"]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788251049	17	random	1	leader	columns	A2	columns	{"safe":["B2","C2","C3"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788288024	19	blocked	1	leader	rows	B3	rows	{"safe":["B2"],"unsafe":[]}	goalInference
testing	0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8	1550788307872	19	blocked	2	leader	rows	A1	rows	{"safe":["B2","A3"],"unsafe":["B3"]}	goalInference
