iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	trueGoal	cellAskedAbout	goalResponse	gridState	eventType
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788397221	1	practice	1	leader	columns	C3	columns	{"safe":["A3","B3"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788435247	3	random	1	leader	rows	C1	rows	{"safe":["A2","C2","C3"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788484174	5	random	1	leader	columns	A1	columns	{"safe":["B1","C1","C2"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788569198	7	pragmatic	1	leader	rows	B3	rows	{"safe":["B1"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788657974	9	random	1	leader	columns	B1	columns	{"safe":["A1","B2","C1"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788753993	11	random	1	leader	rows	B1	rows	{"safe":["A3","B3","C2"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788796366	11	random	2	leader	rows	C1	rows	{"safe":["A3","B3","C2"],"unsafe":["B1","A1"]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788852505	13	random	1	leader	rows	B3	rows	{"safe":["A1","A2","B1","B2"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788905647	15	blocked	1	leader	rows	A3	rows	{"safe":["A2"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788966985	17	empty	1	leader	columns	B2	not sure	{"safe":[],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550788994749	17	empty	2	leader	columns	B1	columns	{"safe":[],"unsafe":["B2","A3"]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550789016905	17	empty	3	leader	columns	C1	columns	{"safe":["B1","A1"],"unsafe":["B2","A3"]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550789053657	19	random	1	leader	columns	A1	columns	{"safe":["C1","C3"],"unsafe":[]}	goalInference
testing	3568-d01d00df-fe0d-4800-b871-314869786b00	1550789072866	19	random	2	leader	columns	B3	columns	{"safe":["C1","C3"],"unsafe":["A1"]}	goalInference
