iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	cellAskedAbout	goalResponse	gridState	eventType
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550730931285	0	practice	1	helper	A1	columns	{"safe":["B1","C1"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550730965933	2	random	1	helper	C3	columns	{"safe":["A3","B1","B3","C2"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550730986033	2	random	2	helper	A1	columns	{"safe":["A3","B1","B3","C2"],"unsafe":["C3"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550730998715	2	random	3	helper	C1	columns	{"safe":["A3","B1","B3","C2","A1"],"unsafe":["C3"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731054450	4	random	1	helper	C1	rows	{"safe":["A3","B2","C3"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731067353	4	random	2	helper	C2	rows	{"safe":["A3","B2","C3","C1"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731105533	6	random	1	helper	B1	columns	{"safe":["A2","C1","C3"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731130555	6	random	2	helper	B2	columns	{"safe":["A2","C1","C3","C2"],"unsafe":["B1"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731203670	8	empty	1	helper	B1	rows	{"safe":[],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731222900	8	empty	2	helper	C1	columns	{"safe":["B1"],"unsafe":["B2"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731240860	8	empty	3	helper	A1	rows	{"safe":["B1","C1","C2"],"unsafe":["B2"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731297119	10	blocked	1	helper	B1	rows	{"safe":["B2"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731321967	10	blocked	2	helper	A3	rows	{"safe":["B2","B1"],"unsafe":["B3"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731336811	10	blocked	3	helper	A1	rows	{"safe":["B2","B1","A3","A2"],"unsafe":["B3"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731369861	12	pragmatic	1	helper	B2	columns	{"safe":["A2"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731384799	12	pragmatic	2	helper	C2	columns	{"safe":["A2","B2","B3"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731426072	14	random	1	helper	B2	rows	{"safe":["B3","C3"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731443988	14	random	2	helper	C2	columns	{"safe":["B3","C3","B2"],"unsafe":["B1"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731459897	14	random	3	helper	C1	rows	{"safe":["B3","C3","B2","C2","A2"],"unsafe":["B1"]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731505389	16	random	1	helper	B2	rows	{"safe":["A2","A3","B1","C2"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731545338	18	random	1	helper	B3	columns	{"safe":["A3","C3"],"unsafe":[]}	goalInference
pilot0	6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf	1550731564445	18	random	2	helper	A2	columns	{"safe":["A3","C3","B2"],"unsafe":["B3"]}	goalInference
