gameid, time, goal, objectSet, word, online
0406-9,1430254027190,rose,5, rose ,on
0406-9,1430254051543,dalmatian,3, where ,on
0406-9,1430254053079,dalmatian,3, is ,on
0406-9,1430254054658,dalmatian,3, dog ,on
0406-9,1430254091668,park,2, where ,on
0406-9,1430254093498,park,2, is ,on
0406-9,1430254095311,park,2, that ,on
0406-9,1430254096949,park,2, place ,on
0406-9,1430254129947,mansion,1, where ,on
0406-9,1430254131312,mansion,1, is ,on
0406-9,1430254132510,mansion,1, that ,on
0406-9,1430254133467,mansion,1, mansion ,on
