workerid	trial_type	other	response	sentence_type
8	shirt_prANY	 	0.66	sup
8	shirt_prANY	 	0	sib
8	shirt_prANY	 	1	id
8	shirt_prANY	 	1	sub
8	dog_conv	 	1	sub
8	dog_conv	 	1	id
8	dog_conv	 	0	sib
8	dog_conv	 	0.37	sup
8	car_prANY	 	1	id
8	car_prANY	 	0.99	sub
8	car_prANY	 	1	sib
8	car_prANY	 	0.62	sup
8	food_info	 	0.27	sib
8	food_info	 	1	sub
8	food_info	 	0.45	sup
8	food_info	 	1	id
9	car_prANY	 	0.98	id
9	car_prANY	 	0.12	sub
9	car_prANY	 	0.88	sib
9	car_prANY	 	0.94	sup
9	food_prANY	 	0.8	sib
9	food_prANY	 	0.87	id
9	food_prANY	 	0.87	sup
9	food_prANY	 	0.99	sub
9	dog_info	 	0.84	sub
9	dog_info	 	0.75	sib
9	dog_info	 	0.87	id
9	dog_info	 	0.44	sup
9	shirt_info	 	0.69	id
9	shirt_info	 	0.77	sib
9	shirt_info	 	0.35	sup
9	shirt_info	 	0.93	sub
10	shirt_prANY	 	0.34	sib
10	shirt_prANY	 	1	sub
10	shirt_prANY	 	0.15	sup
10	shirt_prANY	 	1	id
10	car_prANY	 	1	id
10	car_prANY	 	1	sub
10	car_prANY	 	0.83	sib
10	car_prANY	 	0.77	sup
10	food_info	 	0	sup
10	food_info	 	0.84	sub
10	food_info	 	0.79	sib
10	food_info	 	1	id
10	dog_conv	 	1	id
10	dog_conv	 	0	sup
10	dog_conv	 	0.93	sib
10	dog_conv	 	1	sub
11	shirt_prBASIC	 	0.91	id
11	shirt_prBASIC	 	0.34	sup
11	shirt_prBASIC	 	0.1	sib
11	shirt_prBASIC	 	0.7	sub
11	car_info	 	0.9	sub
11	car_info	 	0.61	sib
11	car_info	 	0.74	sup
11	car_info	 	0.96	id
11	dog_prANY	 	0.29	sib
11	dog_prANY	 	0.94	id
11	dog_prANY	 	0.9	sub
11	dog_prANY	 	0.18	sup
11	food_info	 	0.61	sib
11	food_info	 	1	id
11	food_info	 	0.28	sup
11	food_info	 	0.53	sub
12	dog_prANY	 	0.07	sib
12	dog_prANY	 	0.96	sub
12	dog_prANY	 	0.97	id
12	dog_prANY	 	0.49	sup
12	food_prANY	 	0.96	id
12	food_prANY	 	0.65	sup
12	food_prANY	 	0.54	sib
12	food_prANY	 	0.98	sub
12	car_conv	 	1	id
12	car_conv	 	1	sib
12	car_conv	 	1	sub
12	car_conv	 	1	sup
12	shirt_info	 	0.72	sup
12	shirt_info	 	0.13	sib
12	shirt_info	 	1	id
12	shirt_info	 	1	sub
13	shirt_prANY	 just a simple yes or no	0.73	sib
13	shirt_prANY	 just a simple yes or no	0.92	sub
13	shirt_prANY	 just a simple yes or no	0.92	sup
13	shirt_prANY	 just a simple yes or no	0.97	id
13	dog_prANY	 	0.25	sib
13	dog_prANY	 	0.87	sub
13	dog_prANY	 	0.95	id
13	dog_prANY	 	0.46	sup
13	food_prANY	 	0.95	sub
13	food_prANY	 	0.98	id
13	food_prANY	 	0.2	sib
13	food_prANY	 	0.52	sup
13	car_info	 	0.92	sub
13	car_info	 	0.95	id
13	car_info	 	0.95	sup
13	car_info	 	0.94	sib
14	food_info	 	0.93	id
14	food_info	 	0.8	sub
14	food_info	 	0.92	sib
14	food_info	 	0.07	sup
14	dog_info	 	0.06	sup
14	dog_info	 	0.57	sib
14	dog_info	 	0.99	id
14	dog_info	 	0.95	sub
14	shirt_info	 	0.95	sub
14	shirt_info	 	0.99	id
14	shirt_info	 	0.17	sup
14	shirt_info	 	0.66	sib
14	car_prANY	 	0.94	sup
14	car_prANY	 	0.86	sib
14	car_prANY	 	0.96	sub
14	car_prANY	 	1	id
15	car_conv	 	0.9	id
15	car_conv	 	0.9	sub
15	car_conv	 	0.67	sup
15	car_conv	 	0.71	sib
15	food_prANY	 	0.92	sub
15	food_prANY	 	0.58	sib
15	food_prANY	 	0.42	sup
15	food_prANY	 	0.98	id
15	dog_prANY	 	0.99	id
15	dog_prANY	 	0.63	sib
15	dog_prANY	 	0.36	sup
15	dog_prANY	 	0.9	sub
15	shirt_info	 	0.5	sib
15	shirt_info	 	0.42	sup
15	shirt_info	 	0.95	sub
15	shirt_info	 	0.97	id
16	car_prANY	 	0.3	sup
16	car_prANY	 	0.19	sub
16	car_prANY	 	0.78	sib
16	car_prANY	 	1	id
16	dog_info	 	0.28	sup
16	dog_info	 	1	id
16	dog_info	 	0.88	sub
16	dog_info	 	0.59	sib
16	shirt_info	 	0.38	sup
16	shirt_info	 	0.94	sub
16	shirt_info	 	0.35	sib
16	shirt_info	 	1	id
16	food_info	 	0.32	sup
16	food_info	 	0.93	sub
16	food_info	 	0.65	sib
16	food_info	 	1	id
17	dog_info	 	0.89	id
17	dog_info	 	0.51	sup
17	dog_info	 	0.52	sib
17	dog_info	 	0.51	sub
17	food_prANY	 	1	sub
17	food_prANY	 	1	sib
17	food_prANY	 	1	id
17	food_prANY	 	1	sup
17	car_conv	 	1	sub
17	car_conv	 	1	id
17	car_conv	 	0.06	sup
17	car_conv	 	1	sib
17	shirt_prBASIC	 	0.01	sup
17	shirt_prBASIC	 	1	id
17	shirt_prBASIC	 	1	sub
17	shirt_prBASIC	 	0.02	sib
18	shirt_info	 	0.9	sup
18	shirt_info	 	0.9	sub
18	shirt_info	 	0.11	sib
18	shirt_info	 	0.9	id
18	car_prANY	 	0.87	id
18	car_prANY	 	0.49	sib
18	car_prANY	 	0.86	sup
18	car_prANY	 	0.5	sub
18	food_info	 	0.07	sib
18	food_info	 	0.57	sub
18	food_info	 	0.93	id
18	food_info	 	0.06	sup
18	dog_conv	 	0.91	sib
18	dog_conv	 	0.91	id
18	dog_conv	 	0.91	sub
18	dog_conv	 	0.2	sup
19	shirt_info	 	0.98	sub
19	shirt_info	 	0.03	sib
19	shirt_info	 	1	id
19	shirt_info	 	0.35	sup
19	car_prANY	 	0.53	sub
19	car_prANY	 	0.81	sup
19	car_prANY	 	0.99	id
19	car_prANY	 	0.85	sib
19	dog_conv	 	0.99	id
19	dog_conv	 	0.5	sup
19	dog_conv	 	1	sub
19	dog_conv	 	0.69	sib
19	food_prANY	 	0.9	sub
19	food_prANY	 	0.77	sib
19	food_prANY	 	0.98	id
19	food_prANY	 	0.77	sup
20	shirt_prBASIC	 	1	sub
20	shirt_prBASIC	 	1	id
20	shirt_prBASIC	 	0.11	sup
20	shirt_prBASIC	 	0	sib
20	food_info	 	1	id
20	food_info	 	0	sib
20	food_info	 	1	sub
20	food_info	 	0	sup
