date,workerid,amount
Wed May 13 17:24:03 PDT 2015,AS1QMPXIT1EGX,1.25
Wed May 13 17:25:43 PDT 2015,A2541C8MY0BYV3,1.25
Wed May 13 17:28:03 PDT 2015,AWIRARX73E609,1.25
Wed May 13 17:28:07 PDT 2015,A1MYLQQL8BBOYT,1.25
Wed May 13 17:42:14 PDT 2015,A150MDVC0C92OT,1.25
Wed May 13 17:42:27 PDT 2015,ATA8OGSYN5YPS,1.25
Wed May 13 18:10:20 PDT 2015,ANKCM4EYXW96O,1.25
Wed May 13 18:10:21 PDT 2015,A2O5OJXCUFQ3FV,1.25
,total paid to workers:,=SUM(c2:c9)
,10% paid to Amazon:,=.1*c10
,total:,=SUM(c10:c11
