iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546329970	0	overlap	5D,10H	AD,10H	5D,10H	2	[{"name":"7S","gridX":2,"gridY":4},{"name":"AD","gridX":1,"gridY":2},{"name":"5H","gridX":4,"gridY":1},{"name":"10H","gridX":3,"gridY":1},{"name":"3S","gridX":2,"gridY":1},{"name":"6C","gridX":4,"gridY":3},{"name":"5D","gridX":2,"gridY":3}]	reveal
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546369733	1	overlap	7D,JH	AH,JH	7D,JH	2	[{"name":"AH","gridX":2,"gridY":4},{"name":"9H","gridX":1,"gridY":2},{"name":"JC","gridX":3,"gridY":3},{"name":"JH","gridX":3,"gridY":2},{"name":"4H","gridX":2,"gridY":1},{"name":"7H","gridX":4,"gridY":1},{"name":"7D","gridX":1,"gridY":3},{"name":"3C","gridX":4,"gridY":2}]	reveal
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546400083	2	catch	4C	AC	4C	1	[{"name":"5H","gridX":4,"gridY":3},{"name":"3H","gridX":1,"gridY":4},{"name":"AC","gridX":4,"gridY":4},{"name":"AD","gridX":1,"gridY":3},{"name":"4C","gridX":1,"gridY":2},{"name":"JD","gridX":4,"gridY":2},{"name":"KC","gridX":2,"gridY":1}]	reveal
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546432380	3	baseline	AC,9D	10C,6D	9D,AC	2	[{"name":"6D","gridX":1,"gridY":4},{"name":"4D","gridX":2,"gridY":4},{"name":"4C","gridX":3,"gridY":4},{"name":"9D","gridX":1,"gridY":1},{"name":"5D","gridX":4,"gridY":3},{"name":"AC","gridX":1,"gridY":3},{"name":"10C","gridX":2,"gridY":2},{"name":"9H","gridX":2,"gridY":3}]	reveal
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546454998	4	baseline	5D,KH	4C,10C	KH,5D	2	[{"name":"3H","gridX":3,"gridY":4},{"name":"KH","gridX":2,"gridY":3},{"name":"10C","gridX":4,"gridY":1},{"name":"4C","gridX":1,"gridY":1},{"name":"AH","gridX":3,"gridY":3},{"name":"5D","gridX":1,"gridY":3}]	reveal
pilot0	4496-a709f39c-e92a-4353-b573-a1c4fe5f340d	1544546497269	5	catch	JC	8S	JC	1	[{"name":"JC","gridX":4,"gridY":4},{"name":"8S","gridX":3,"gridY":4},{"name":"9D","gridX":2,"gridY":2},{"name":"QD","gridX":4,"gridY":2},{"name":"5H","gridX":3,"gridY":1}]	reveal
