iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	sender	underlyingWorld	timeFromMessage	gridState	cellAskedAbout	answer	eventType
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775082280	0	practice	1	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"unsafe"}	60608	{"safe":["B2","B3"],"unsafe":[]}	B1	B1	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775131701	2	random	1	helper	human	{"A1":"unsafe","A2":"safe","A3":"safe","B1":"unsafe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	23127	{"safe":["C3"],"unsafe":[]}	C2	C2	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775147415	2	random	2	helper	human	{"A1":"unsafe","A2":"safe","A3":"safe","B1":"unsafe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	38840	{"safe":["C3","C2"],"unsafe":[]}	C1	C1	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775182199	4	random	1	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"unsafe","C3":"unsafe"}	10775	{"safe":["A1","A2","B1"],"unsafe":[]}	C1	C1	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775275383	6	random	1	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	13640	{"safe":["A1","A3","C1","C2"],"unsafe":[]}	C3	C3	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775378336	8	empty	1	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	36888	{"safe":[],"unsafe":[]}	A1	A1,B1	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775400022	8	empty	2	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	58552	{"safe":["A1","B1"],"unsafe":[]}	B3	B3	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775426738	8	empty	3	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	85285	{"safe":["A1","B1"],"unsafe":["B3"]}	A2	A2	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775457510	8	empty	4	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	116010	{"safe":["A1","B1"],"unsafe":["B3","A2"]}	C2	C2	answer
testing	5291-510e5261-4696-4096-a0a4-836cd6663a03	1550775467781	8	empty	5	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	126311	{"safe":["A1","B1","C2"],"unsafe":["B3","A2"]}	C3	C3	answer
