iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	sender	underlyingWorld	timeFromMessage	gridState	cellAskedAbout	answer	eventType
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787414359	1	practice	1	leader	human	{"A1":"unsafe","A2":"safe","A3":"unsafe","B1":"safe","B2":"safe","B3":"safe","C1":"unsafe","C2":"safe","C3":"safe"}	19731	{"safe":["B2","B3"],"unsafe":[]}	B1	B1	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787448322	3	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"unsafe","C3":"safe"}	12584	{"safe":["A1","A2","B1"],"unsafe":[]}	A3	A3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787493678	5	random	1	leader	human	{"A1":"unsafe","A2":"safe","A3":"safe","B1":"unsafe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	25969	{"safe":["A2","A3","B3","C2"],"unsafe":[]}	B2	B2,C3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787565672	7	random	1	leader	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	36480	{"safe":["B2","C1","C3"],"unsafe":[]}	A1	A1,B1	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787599952	9	pragmatic	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	15192	{"safe":["A1"],"unsafe":[]}	A2	A2,A3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787636684	11	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"unsafe"}	15948	{"safe":["A2","B1"],"unsafe":[]}	C2	B2,C2	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787672708	13	random	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"unsafe"}	18189	{"safe":["A1","A2","C1","C2"],"unsafe":[]}	C3	A3,C3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787718873	15	random	1	leader	human	{"A1":"safe","A2":"unsafe","A3":"unsafe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	16435	{"safe":["A1","B2","C2"],"unsafe":[]}	C3	C1,C3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787770761	17	blocked	1	leader	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	20022	{"safe":["A1"],"unsafe":[]}	A3	A2,A3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787785947	17	blocked	2	leader	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	35212	{"safe":["A1","A3"],"unsafe":["A2"]}	B2	B2,B3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787801654	17	blocked	3	leader	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	50917	{"safe":["A1","A3","B2"],"unsafe":["A2","B3"]}	C2	C2,C3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787810168	17	blocked	4	leader	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"unsafe","C1":"safe","C2":"safe","C3":"safe"}	59433	{"safe":["A1","A3","B2","C2","C3"],"unsafe":["A2","B3"]}	C1	C1	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787855197	19	empty	1	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"unsafe","C2":"unsafe","C3":"safe"}	15129	{"safe":[],"unsafe":[]}	A1	A1,A2	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787873824	19	empty	2	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"unsafe","C2":"unsafe","C3":"safe"}	33756	{"safe":["A1","A2"],"unsafe":[]}	B1	B1,C1	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787890244	19	empty	3	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"unsafe","C2":"unsafe","C3":"safe"}	50176	{"safe":["A1","A2","B1"],"unsafe":["C1"]}	B2	B2,B3	answer
testing	7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3	1550787904858	19	empty	4	leader	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"unsafe","C2":"unsafe","C3":"safe"}	64790	{"safe":["A1","A2","B1","B3"],"unsafe":["C1","B2"]}	C3	A3,C3	answer
