iterationName	gameid	time	score	gameID	quizFailCounter	thinksHuman	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
full_sample	9161-8f4bbd2d-1825-404a-bd17-0284cee54f4a	1546217815764	25	9161-8f4bbd2d-1825-404a-bd17-0284cee54f4a	0	yes	yes	okay	yes		Trying to pick the card that makes it obvious which combo I have, 	seeker	264399	exitSurvey
full_sample	9161-8f4bbd2d-1825-404a-bd17-0284cee54f4a	1546217820537	25	9161-8f4bbd2d-1825-404a-bd17-0284cee54f4a	2	yes	yes	liked	yes	Thanks!	just finding what they were asking for	helper	252311	exitSurvey
