iterationName	gameid	time	score	gameID	quizFailCounter	thinksHuman	nativeEnglish	ratePartner	comments	strategy	role	totalLength	eventType
full_sample	5959-a52a63ec-8735-4f5c-90d3-a99bc84b9b45	1546221216442	15	5959-a52a63ec-8735-4f5c-90d3-a99bc84b9b45	1	yes	yes	liked		fun HIT	started with top card usually	helper	237139	exitSurvey
full_sample	5959-a52a63ec-8735-4f5c-90d3-a99bc84b9b45	1546221216715	15	5959-a52a63ec-8735-4f5c-90d3-a99bc84b9b45	0	yes	yes	not much	yes		picked the two cards 	seeker	278702	exitSurvey
