iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
full_sample	1762-fbca142f-50d5-4039-942a-1adb3b05908f	1546221528425	0	baseline	9H,3C	9D,5H	9H,3C	2	[{"name":"4S","gridX":3,"gridY":1},{"name":"3C","gridX":1,"gridY":4},{"name":"9H","gridX":2,"gridY":3},{"name":"2H","gridX":2,"gridY":2},{"name":"5H","gridX":3,"gridY":2},{"name":"9D","gridX":4,"gridY":4}]	reveal
full_sample	1762-fbca142f-50d5-4039-942a-1adb3b05908f	1546221574751	1	baseline	JD,7D	2S,9C	7D,JD	2	[{"name":"2S","gridX":3,"gridY":3},{"name":"9C","gridX":3,"gridY":4},{"name":"JD","gridX":4,"gridY":2},{"name":"KS","gridX":2,"gridY":4},{"name":"7D","gridX":1,"gridY":2}]	reveal
full_sample	1762-fbca142f-50d5-4039-942a-1adb3b05908f	1546221623141	2	overlap	5D,9H	10H,9H	5D,9H	2	[{"name":"4S","gridX":1,"gridY":4},{"name":"10H","gridX":4,"gridY":1},{"name":"8D","gridX":2,"gridY":2},{"name":"5D","gridX":4,"gridY":3},{"name":"7S","gridX":2,"gridY":3},{"name":"9H","gridX":3,"gridY":4},{"name":"2H","gridX":3,"gridY":3}]	reveal
full_sample	1762-fbca142f-50d5-4039-942a-1adb3b05908f	1546221654339	3	catch	3H	AS	3H	1	[{"name":"10C","gridX":1,"gridY":2},{"name":"AS","gridX":2,"gridY":4},{"name":"8H","gridX":2,"gridY":1},{"name":"6H","gridX":3,"gridY":2},{"name":"10D","gridX":4,"gridY":3},{"name":"3H","gridX":2,"gridY":3}]	reveal
full_sample	1762-fbca142f-50d5-4039-942a-1adb3b05908f	1546221725931	4	catch	JC	KS	JC	1	[{"name":"KS","gridX":3,"gridY":4},{"name":"4D","gridX":2,"gridY":4},{"name":"JC","gridX":4,"gridY":1},{"name":"7C","gridX":1,"gridY":4},{"name":"2S","gridX":2,"gridY":1}]	reveal
full_sample	1762-fbca142f-50d5-4039-942a-1adb3b05908f	1546221756817	5	overlap	AS,8H	3S,8H	8H,AS	2	[{"name":"KH","gridX":3,"gridY":1},{"name":"AS","gridX":1,"gridY":3},{"name":"KC","gridX":2,"gridY":1},{"name":"5H","gridX":1,"gridY":1},{"name":"8H","gridX":4,"gridY":3},{"name":"2H","gridX":2,"gridY":2},{"name":"2D","gridX":2,"gridY":3},{"name":"3S","gridX":4,"gridY":1}]	reveal
