iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	revealedObjs	numRevealed	fullContext	eventType
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231272996	0	catch	2S	5H	2S	1	[{"name":"JC","gridX":1,"gridY":2},{"name":"7D","gridX":2,"gridY":4},{"name":"5H","gridX":4,"gridY":2},{"name":"QC","gridX":3,"gridY":2},{"name":"2S","gridX":2,"gridY":1},{"name":"4C","gridX":2,"gridY":2},{"name":"AD","gridX":4,"gridY":3},{"name":"6D","gridX":1,"gridY":4}]	reveal
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231298661	1	overlap	4D,JS	8C,JS	4D	1	[{"name":"6H","gridX":3,"gridY":2},{"name":"6D","gridX":2,"gridY":4},{"name":"AD","gridX":3,"gridY":4},{"name":"JS","gridX":3,"gridY":1},{"name":"4D","gridX":1,"gridY":4},{"name":"4S","gridX":2,"gridY":1},{"name":"8C","gridX":4,"gridY":3}]	reveal
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231323333	1	overlap	4D,JS	8C,JS	JS	1	[{"name":"6H","gridX":3,"gridY":2},{"name":"6D","gridX":2,"gridY":4},{"name":"AD","gridX":3,"gridY":4},{"name":"JS","gridX":3,"gridY":1},{"name":"4D","gridX":1,"gridY":4},{"name":"4S","gridX":2,"gridY":1},{"name":"8C","gridX":4,"gridY":3}]	reveal
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231356113	2	baseline	4S,KC	QH,9C	4S,KC	2	[{"name":"KC","gridX":3,"gridY":2},{"name":"9C","gridX":4,"gridY":4},{"name":"QH","gridX":3,"gridY":4},{"name":"4D","gridX":2,"gridY":2},{"name":"4S","gridX":1,"gridY":2}]	reveal
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231383669	3	baseline	6S,9C	4C,5H	6S,9C	2	[{"name":"9C","gridX":4,"gridY":3},{"name":"6S","gridX":1,"gridY":2},{"name":"7D","gridX":3,"gridY":3},{"name":"4C","gridX":4,"gridY":4},{"name":"AS","gridX":2,"gridY":4},{"name":"5H","gridX":1,"gridY":1},{"name":"10C","gridX":4,"gridY":2}]	reveal
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231408759	4	overlap	KC,5D	AS,5D	KC,5D	2	[{"name":"7S","gridX":1,"gridY":4},{"name":"5D","gridX":4,"gridY":2},{"name":"QS","gridX":3,"gridY":3},{"name":"AS","gridX":3,"gridY":2},{"name":"KC","gridX":3,"gridY":1},{"name":"JS","gridX":1,"gridY":2},{"name":"6S","gridX":1,"gridY":3}]	reveal
full_sample	6417-ca66a98c-d339-4350-89ee-5f4318274625	1546231430679	5	catch	JH	3D	JH	1	[{"name":"7H","gridX":2,"gridY":3},{"name":"JH","gridX":3,"gridY":1},{"name":"3D","gridX":4,"gridY":3},{"name":"5D","gridX":1,"gridY":1},{"name":"9D","gridX":3,"gridY":4}]	reveal
