iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	text	timeFromRoundStart	eventType
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229465061	0	overlap	6S,8D	QC,8D	Where is the 6 of spade?	5232	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229484139	0	overlap	6S,8D	QC,8D	Where is the 8 of diamond?	1976	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229509315	1	overlap	JH,3H	5H,3H	Where is the three of hearts?	5048	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229530152	1	overlap	JH,3H	5H,3H	Where is the jack of hearts?	5503	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229545964	2	baseline	AH,KH	7C,AC	Where is the ace of hearts?	2812	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229561946	2	baseline	AH,KH	7C,AC	Where is the king of hearts?	1939	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229590534	3	baseline	6H,3D	AC,6D	Where is the where is the 6 of hearts and 3 of diamonds?	11062	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229611443	4	catch	2S	KH	Where is the 2 of spades?	2306	chatMessage
full_sample	9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a	1546229627190	5	catch	7C	3S	Where is the 7 of clubs?	2939	chatMessage
