iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	cardAskedAbout	sender	timeFromRoundStart	eventType
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809525413	0	catch	2S	AC	seeker	2C	human	12941	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809545236	0	catch	2S	AC	seeker	AC	human	32766	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809562526	0	catch	2S	AC	seeker	2S	human	50056	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809583111	1	baseline	AD,9H	2C,KD	seeker	2H	human	13792	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809595413	1	baseline	AD,9H	2C,KD	seeker	KH	human	26098	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809609836	1	baseline	AD,9H	2C,KD	seeker	9D	human	40520	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809623406	1	baseline	AD,9H	2C,KD	seeker	AH	human	54092	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809646988	2	overlap	9S,5D	4C,5D	seeker	5D	human	16793	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809660294	2	overlap	9S,5D	4C,5D	seeker	8S	human	30100	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809678746	2	overlap	9S,5D	4C,5D	seeker	5S	human	48548	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809697021	2	overlap	9S,5D	4C,5D	seeker	9H	human	66829	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809708812	3	catch	2D	8H	seeker	2D	bot	5000	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809727006	4	overlap	4H,2H	JH,2H	seeker	4H	bot	5000	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809735638	4	overlap	4H,2H	JH,2H	seeker	2H	bot	5000	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809748891	5	baseline	5H,10H	9D,5C	seeker	5H	bot	5000	chatMessage
single_player_sample	3262-852c5abd-32e0-450b-9199-5e99be911255	1546809761741	5	baseline	5H,10H	9D,5C	seeker	10H	bot	5000	chatMessage
