iterationName,gameid,time,trialNum,trialType,targetGoalSet,distractorGoalSet,firstRole,sender,timeFromMessage,revealedObjs
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432747172e+12,0,baseline,"[""KH"",""JC""]","[""7S"",""3S""]",,,,"[""KH""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432755906e+12,0,baseline,"[""KH"",""JC""]","[""7S"",""3S""]",,,,"[""JC""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432773275e+12,1,baseline,"[""8C"",""2C""]","[""QD"",""4C""]",,,,"[""8C"",""2C""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.54443278625e+12,2,catch,"[""3S""]","[""AD""]",,,,"[""3S""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432800292e+12,3,catch,"[""9D""]","[""QC""]",,,,"[""7H"",""9D""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432814154e+12,4,overlap,"[""10C"",""KH""]","[""3S"",""KH""]",,,,"[""10C"",""KH""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432828304e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,"[""QD""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432836446e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,"[""9D""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432846067e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,"[""4C"",""9H""]"
testing,8405-ed5eedc5-a84a-434f-8e52-77e9f6701945,1.544432856536e+12,5,overlap,"[""4C"",""9S""]","[""6S"",""9S""]",,,,"[""9S""]"
testing,4994-2acf0ee5-da5a-4585-be46-d4faaa81ba5e,1.544476275524e+12,0,catch,"[""7D""]","[""10H""]",,,,"[""7D""]"
testing,0435-e95213a1-ce03-4291-b30c-0ebb70f018fa,1.544476337775e+12,0,catch,"[""3H""]","[""4C""]",,,,"[""3H""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476462186e+12,0,overlap,"[""8H"",""KC""]","[""6H"",""KC""]",,,,"[""KC"",""8H""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476474864e+12,1,catch,"[""JC""]","[""10C""]",,,,"[""JC"",""10C""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.54447649013e+12,2,baseline,"[""5H"",""AH""]","[""9H"",""6C""]",,,,"[""AH"",""5H""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476507111e+12,3,overlap,"[""6D"",""3C""]","[""AD"",""3C""]",,,,"[""6D"",""3C""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.54447651851e+12,4,catch,"[""8H""]","[""2C""]",,,,"[""10D""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476530593e+12,4,catch,"[""8H""]","[""2C""]",,,,"[""8H""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476545527e+12,5,baseline,"[""3S"",""4D""]","[""7S"",""3H""]",,,,"[""4D"",""3H""]"
testing,7259-516b4792-38fa-4a9d-b22b-b3b1c8dbad40,1.544476554851e+12,5,baseline,"[""3S"",""4D""]","[""7S"",""3H""]",,,,"[""5S"",""3S""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484918884e+12,0,catch,"[""QS""]","[""10S""]",,,,"[""QS""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484937505e+12,1,overlap,"[""5C"",""2D""]","[""4C"",""2D""]",,,,"[""5C""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484957078e+12,1,overlap,"[""5C"",""2D""]","[""4C"",""2D""]",,,,"[""2D""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484974501e+12,2,baseline,"[""10D"",""9H""]","[""QC"",""KS""]",,,,"[""9H"",""10D""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544484993843e+12,3,catch,"[""QS""]","[""4C""]",,,,"[""QS""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.54448500883e+12,4,overlap,"[""QS"",""2H""]","[""8D"",""2H""]",,,,"[""QS""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544485018364e+12,4,overlap,"[""QS"",""2H""]","[""8D"",""2H""]",,,,"[""2H""]"
pilot0,1712-efe2127a-4185-4560-83b5-21e662978ae7,1.544485039812e+12,5,baseline,"[""5D"",""KS""]","[""7S"",""3S""]",,,,"[""5D"",""KS""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485200764e+12,0,catch,"[""10H""]","[""2C""]",,,,"[""10H"",""2C""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485288317e+12,1,baseline,"[""7S"",""7H""]","[""3S"",""5S""]",,,,"[""7H""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.54448532774e+12,1,baseline,"[""7S"",""7H""]","[""3S"",""5S""]",,,,"[""7S""]"
pilot0,4088-9de6a0f7-018a-4f82-8776-cc0812be7927,1.544485369902e+12,2,baseline,"[""6C"",""9C""]","[""5D"",""AH""]",,,,"[""6C"",""9C""]"
