iterationName	gameid	time	trialNum	trialType	targetGoalSet	distractorGoalSet	firstRole	sender	timeFromMessage	revealedObjs	numRevealed	fullContext	eventType
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746641600	0	overlap	KS,7S	10S,7S	seeker	bot	2500	KS,7S	2	[{"name":"7S","gridX":3,"gridY":4},{"name":"4D","gridX":3,"gridY":1},{"name":"9S","gridX":4,"gridY":4},{"name":"10S","gridX":1,"gridY":1},{"name":"KS","gridX":1,"gridY":4},{"name":"QD","gridX":3,"gridY":3}]	reveal
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746653721	1	catch	JD	10D	seeker	bot	2500	JD	1	[{"name":"10S","gridX":3,"gridY":4},{"name":"9D","gridX":1,"gridY":3},{"name":"10H","gridX":1,"gridY":1},{"name":"10D","gridX":1,"gridY":2},{"name":"9C","gridX":4,"gridY":1},{"name":"JD","gridX":4,"gridY":4}]	reveal
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746666454	2	baseline	3H,10C	AS,10H	seeker	bot	2500	3H,10C	2	[{"name":"10C","gridX":4,"gridY":2},{"name":"2S","gridX":2,"gridY":1},{"name":"3H","gridX":2,"gridY":3},{"name":"10H","gridX":1,"gridY":3},{"name":"AS","gridX":3,"gridY":2}]	reveal
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746681506	3	overlap	JH,9D	KH,9D	seeker	human	5766	JH,9D	2	[{"name":"4D","gridX":2,"gridY":2},{"name":"9D","gridX":3,"gridY":1},{"name":"KH","gridX":3,"gridY":4},{"name":"JH","gridX":4,"gridY":4},{"name":"4H","gridX":3,"gridY":3}]	reveal
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746698186	4	baseline	4D,8S	8C,KH	seeker	human	7402	4D,8S	2	[{"name":"8S","gridX":4,"gridY":2},{"name":"9H","gridX":2,"gridY":2},{"name":"3S","gridX":3,"gridY":1},{"name":"4D","gridX":4,"gridY":4},{"name":"KH","gridX":1,"gridY":4},{"name":"AH","gridX":1,"gridY":2},{"name":"5D","gridX":1,"gridY":1},{"name":"8C","gridX":2,"gridY":4}]	reveal
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746709243	5	catch	5S	3C	seeker	human	1767	5S	1	[{"name":"5S","gridX":2,"gridY":3},{"name":"3C","gridX":4,"gridY":2},{"name":"4H","gridX":3,"gridY":4},{"name":"3H","gridX":4,"gridY":3},{"name":"8D","gridX":2,"gridY":1},{"name":"8S","gridX":1,"gridY":1}]	reveal
single_player_sample	3561-fb73ea38-26fb-49f9-9c44-83ec5ebd13f0	1546747101253	0	overlap	9S,6H	QH,6H	helper	human	17811	9S,6H	2	[{"name":"QH","gridX":1,"gridY":2},{"name":"6C","gridX":1,"gridY":1},{"name":"9S","gridX":4,"gridY":4},{"name":"2H","gridX":3,"gridY":1},{"name":"QC","gridX":2,"gridY":1},{"name":"8S","gridX":4,"gridY":1},{"name":"8H","gridX":2,"gridY":2},{"name":"6H","gridX":2,"gridY":3}]	reveal
single_player_sample	3561-fb73ea38-26fb-49f9-9c44-83ec5ebd13f0	1546747116039	1	catch	5S	3D	helper	human	5658	5S	1	[{"name":"QS","gridX":2,"gridY":3},{"name":"JD","gridX":3,"gridY":2},{"name":"3D","gridX":3,"gridY":3},{"name":"2D","gridX":3,"gridY":4},{"name":"QD","gridX":2,"gridY":4},{"name":"5S","gridX":2,"gridY":2},{"name":"5H","gridX":4,"gridY":3}]	reveal
single_player_sample	3561-fb73ea38-26fb-49f9-9c44-83ec5ebd13f0	1546747134870	2	baseline	3H,5H	JS,7D	helper	human	9640	3H,5H	2	[{"name":"JS","gridX":2,"gridY":1},{"name":"KH","gridX":3,"gridY":2},{"name":"3H","gridX":2,"gridY":2},{"name":"5H","gridX":3,"gridY":3},{"name":"JD","gridX":4,"gridY":2},{"name":"7D","gridX":3,"gridY":4}]	reveal
single_player_sample	3561-fb73ea38-26fb-49f9-9c44-83ec5ebd13f0	1546747155521	3	baseline	8S,QH	6C,5S	helper	bot	2500	8S,QH	2	[{"name":"3D","gridX":1,"gridY":2},{"name":"8S","gridX":4,"gridY":4},{"name":"5S","gridX":1,"gridY":1},{"name":"QH","gridX":3,"gridY":4},{"name":"7H","gridX":1,"gridY":4},{"name":"6C","gridX":2,"gridY":2}]	reveal
