alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
16.13,5.9,0.36,prag_emp,-307.17761939682845,-6.214608098422191
16,5.9,0.44,prag_emp,-309.003484455578,-6.214608098422191
16.44,5.9,0.37,prag_emp,-307.23102646999695,-6.214608098422191
16.19,6.29,0.33,prag_emp,-306.31741609317885,-6.214608098422191
13.99,6.22,0.33,prag_emp,-306.083394398517,-6.214608098422191
14.71,6.22,0.45,prag_emp,-307.2339869942283,-6.214608098422191
14.5,6.22,0.44,prag_emp,-306.8494158387972,-6.214608098422191
16.95,6.22,0.35,prag_emp,-305.73582920980544,-6.214608098422191
15.57,5.94,0.36,prag_emp,-306.76861416039657,-6.214608098422191
13.01,6.3,0.35,prag_emp,-305.9593826616417,-6.214608098422191
9.41,6.3,0.38,prag_emp,-305.7661158340803,-6.214608098422191
7.05,6.03,0.38,prag_emp,-306.24442848550035,-6.214608098422191
11.09,6.03,0.4,prag_emp,-306.476618154504,-6.214608098422191
9.85,6.03,0.4,prag_emp,-306.47908647623103,-6.214608098422191
12.84,6.03,0.4,prag_emp,-306.475893618285,-6.214608098422191
12.77,6.03,0.4,prag_emp,-306.47590353547395,-6.214608098422191
15.66,6.03,0.34,prag_emp,-306.20168075294737,-6.214608098422191
14.77,6.03,0.4,prag_emp,-306.4757844475133,-6.214608098422191
13.9,6.44,0.33,prag_emp,-307.36788561689025,-6.214608098422191
12.86,6.44,0.33,prag_emp,-307.36776511789407,-6.214608098422191
14.97,6.44,0.39,prag_emp,-306.5145794955303,-6.214608098422191
18.84,6.4,0.29,prag_emp,-308.6479201418939,-6.214608098422191
16.82,6.1,0.36,prag_emp,-305.7675977617878,-6.214608098422191
17.41,6.1,0.36,prag_emp,-305.7675974103455,-6.214608098422191
14.7,6.1,0.33,prag_emp,-306.0881319120032,-6.214608098422191
12.53,6.1,0.41,prag_emp,-306.2951832103225,-6.214608098422191
12.74,6.15,0.36,prag_emp,-305.6534903447656,-6.214608098422191
17.63,6.15,0.36,prag_emp,-305.65346224842494,-6.214608098422191
18.43,5.97,0.42,prag_emp,-307.4865298143294,-6.214608098422191
16.78,6.1,0.34,prag_emp,-305.9277432771974,-6.214608098422191
14.99,6.1,0.36,prag_emp,-305.76760252634335,-6.214608098422191
14.69,6.1,0.4,prag_emp,-306.0850324864862,-6.214608098422191
13.67,6.1,0.34,prag_emp,-305.9277615767169,-6.214608098422191
11.84,6.1,0.4,prag_emp,-306.0852578184025,-6.214608098422191
12.51,6.11,0.45,prag_emp,-307.5876930773081,-6.214608098422191
13.22,6.3,0.44,prag_emp,-306.8595169552874,-6.214608098422191
12.57,6.3,0.39,prag_emp,-305.8156261453816,-6.214608098422191
10.91,6.3,0.38,prag_emp,-305.76815909387943,-6.214608098422191
6.76,6.01,0.31,prag_emp,-306.9468089627245,-6.214608098422191
6.52,6.01,0.3,prag_emp,-307.2556512207541,-6.214608098422191
6.95,6.01,0.36,prag_emp,-306.2876463581317,-6.214608098422191
9.63,6.01,0.39,prag_emp,-306.44488108143094,-6.214608098422191
10,6.01,0.29,prag_emp,-307.5033818661861,-6.214608098422191
9.19,6.01,0.29,prag_emp,-307.50600768771943,-6.214608098422191
8.04,6.13,0.29,prag_emp,-307.2525659204843,-6.214608098422191
9.45,6.13,0.29,prag_emp,-307.25310794603024,-6.214608098422191
7.71,6.13,0.37,prag_emp,-305.6921175074155,-6.214608098422191
7.6,6.2,0.38,prag_emp,-305.62440061265244,-6.214608098422191
9.26,6.2,0.26,prag_emp,-308.9030152508396,-6.214608098422191
11.49,6.2,0.46,prag_emp,-307.70687136792435,-6.214608098422191
9.14,6.06,0.34,prag_emp,-306.06560895651063,-6.214608098422191
12.2,6.28,0.39,prag_emp,-305.7661032331285,-6.214608098422191
7.75,6.28,0.35,prag_emp,-305.86618364604396,-6.214608098422191
7.62,6.16,0.36,prag_emp,-305.6478808736701,-6.214608098422191
8.3,6.16,0.37,prag_emp,-305.62722134299025,-6.214608098422191
6.87,6,0.38,prag_emp,-306.4828877663051,-6.214608098422191
10.24,6.5,0.34,prag_emp,-307.6730292034055,-6.214608098422191
9.81,6.34,0.38,prag_emp,-305.91674805879995,-6.214608098422191
10.06,6.17,0.38,prag_emp,-305.6453749020276,-6.214608098422191
9.4,6.17,0.34,prag_emp,-305.8378777959972,-6.214608098422191
7.67,6.17,0.35,prag_emp,-305.7107199707602,-6.214608098422191
9.24,6.17,0.29,prag_emp,-307.29291764385164,-6.214608098422191
6.22,6.17,0.38,prag_emp,-305.69089019522266,-6.214608098422191
8.91,6.17,0.31,prag_emp,-306.5497007906997,-6.214608098422191
6.22,6.17,0.31,prag_emp,-306.5363376872625,-6.214608098422191
7.75,6.16,0.37,prag_emp,-305.63049089991034,-6.214608098422191
11.37,6.16,0.37,prag_emp,-305.6236390733219,-6.214608098422191
8.04,6.16,0.35,prag_emp,-305.71627548269646,-6.214608098422191
7.23,6.16,0.4,prag_emp,-305.91128873513986,-6.214608098422191
7.23,6.16,0.36,prag_emp,-305.6517609398172,-6.214608098422191
8.46,5.75,0.33,prag_emp,-309.39140578715643,-6.214608098422191
12.17,5.75,0.36,prag_emp,-309.31558700408476,-6.214608098422191
10.49,5.75,0.34,prag_emp,-309.29585473004187,-6.214608098422191
13.43,5.96,0.35,prag_emp,-306.60193451264297,-6.214608098422191
18.3,5.97,0.35,prag_emp,-306.5205402083338,-6.214608098422191
16.05,5.97,0.29,prag_emp,-307.71321774899343,-6.214608098422191
14.3,6.64,0.32,prag_emp,-310.2669235549429,-6.214608098422191
12.11,6.64,0.41,prag_emp,-308.5376671302257,-6.214608098422191
13.71,6.26,0.41,prag_emp,-306.01102060202464,-6.214608098422191
13.85,6.43,0.36,prag_emp,-306.6036606595507,-6.214608098422191
13.23,6.25,0.41,prag_emp,-306.0035121498899,-6.214608098422191
9.77,6.25,0.44,prag_emp,-306.82933874312477,-6.214608098422191
9.68,6.25,0.36,prag_emp,-305.6911281813451,-6.214608098422191
9.71,6.22,0.36,prag_emp,-305.6435571930154,-6.214608098422191
13.55,6.22,0.36,prag_emp,-305.6441750182713,-6.214608098422191
9.84,6.33,0.31,prag_emp,-307.17192067853205,-6.214608098422191
9.34,6.33,0.37,prag_emp,-305.8908681880507,-6.214608098422191
7.84,6.13,0.37,prag_emp,-305.6903598769247,-6.214608098422191
6.6,6.13,0.32,prag_emp,-306.2807248702891,-6.214608098422191
5.98,6.13,0.26,prag_emp,-308.69208747495946,-6.214608098422191
7.21,6.13,0.29,prag_emp,-307.25236956411936,-6.214608098422191
9.14,6.06,0.39,prag_emp,-306.1236617594748,-6.214608098422191
10.6,6.06,0.32,prag_emp,-306.41035309550074,-6.214608098422191
10.68,6,0.37,prag_emp,-306.3058811928097,-6.214608098422191
11.47,6.15,0.39,prag_emp,-305.7696062759765,-6.214608098422191
12.18,6.15,0.31,prag_emp,-306.53753682681645,-6.214608098422191
14.12,6.15,0.39,prag_emp,-305.76942928170564,-6.214608098422191
12.34,6.15,0.37,prag_emp,-305.6385909703815,-6.214608098422191
12,6.15,0.33,prag_emp,-306.0221417541759,-6.214608098422191
11.51,6.15,0.32,prag_emp,-306.2529856664699,-6.214608098422191
10.91,6.15,0.36,prag_emp,-305.65367324705875,-6.214608098422191
