alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
3.64,19.48,0.61,prag_emp,-545.9229103443809,-6.214608098422191
3.64,17.61,0.61,prag_emp,-547.1748394170943,-6.214608098422191
3.79,18.14,0.57,prag_emp,-547.4969679035826,-6.214608098422191
3.79,18.42,0.57,prag_emp,-547.3992756876434,-6.214608098422191
3.73,19.03,0.66,prag_emp,-546.5468962682638,-6.214608098422191
3.73,18.34,0.61,prag_emp,-546.6867296227132,-6.214608098422191
3.73,18.66,0.69,prag_emp,-547.5292467683128,-6.214608098422191
3.73,19.64,0.65,prag_emp,-546.0922862878041,-6.214608098422191
3.73,16.38,0.65,prag_emp,-548.9953492740148,-6.214608098422191
3.73,19.78,0.62,prag_emp,-545.9897244882749,-6.214608098422191
3.73,19.12,0.62,prag_emp,-546.2384044608631,-6.214608098422191
3.69,17.86,0.66,prag_emp,-547.4075582557878,-6.214608098422191
3.65,18.42,0.64,prag_emp,-546.6020985497335,-6.214608098422191
3.65,18.78,0.65,prag_emp,-546.433692098439,-6.214608098422191
3.65,18.78,0.6,prag_emp,-546.3514480080979,-6.214608098422191
3.66,19.64,0.67,prag_emp,-546.1965802513969,-6.214608098422191
3.66,17.93,0.63,prag_emp,-546.9360027311319,-6.214608098422191
3.87,18.11,0.63,prag_emp,-547.5695334816195,-6.214608098422191
3.53,18.11,0.58,prag_emp,-547.2719767788441,-6.214608098422191
3.53,19.94,0.67,prag_emp,-546.1865629960594,-6.214608098422191
3.47,19.94,0.67,prag_emp,-546.5133820378782,-6.214608098422191
3.47,19.74,0.61,prag_emp,-546.2507192479354,-6.214608098422191
3.54,19.89,0.56,prag_emp,-546.7877936839935,-6.214608098422191
3.5,18.94,0.62,prag_emp,-546.553991145506,-6.214608098422191
3.5,19.62,0.62,prag_emp,-546.0972558634238,-6.214608098422191
3.72,19.63,0.56,prag_emp,-547.075642535133,-6.214608098422191
3.38,19.63,0.59,prag_emp,-547.28863928331,-6.214608098422191
3.38,19.16,0.63,prag_emp,-547.4729680051881,-6.214608098422191
3.33,18.89,0.61,prag_emp,-548.3504038951193,-6.214608098422191
3.56,19.68,0.66,prag_emp,-546.0717532371029,-6.214608098422191
3.56,19.68,0.62,prag_emp,-545.8347463083829,-6.214608098422191
3.51,19.08,0.64,prag_emp,-546.474316103356,-6.214608098422191
3.56,19.97,0.57,prag_emp,-546.4664425726909,-6.214608098422191
3.56,19.77,0.7,prag_emp,-547.0406783718895,-6.214608098422191
3.56,19.79,0.67,prag_emp,-546.1803143883538,-6.214608098422191
3.56,19.46,0.64,prag_emp,-545.9919885953091,-6.214608098422191
3.78,17.62,0.62,prag_emp,-547.3675474355429,-6.214608098422191
3.78,18.17,0.62,prag_emp,-546.9682432979057,-6.214608098422191
3.78,16.8,0.6,prag_emp,-548.077482599988,-6.214608098422191
3.54,19.56,0.6,prag_emp,-546.0977597126356,-6.214608098422191
3.55,18.97,0.64,prag_emp,-546.3702848161201,-6.214608098422191
3.48,18.46,0.68,prag_emp,-548.0177166882677,-6.214608098422191
3.48,17.54,0.64,prag_emp,-548.27807021718,-6.214608098422191
3.67,18.51,0.58,prag_emp,-546.7589242999883,-6.214608098422191
3.67,18.97,0.57,prag_emp,-546.7637222015848,-6.214608098422191
3.67,18.47,0.65,prag_emp,-546.6804442251777,-6.214608098422191
3.67,19.3,0.55,prag_emp,-547.222947008794,-6.214608098422191
3.6,19.3,0.61,prag_emp,-546.0096492648629,-6.214608098422191
3.6,18.76,0.6,prag_emp,-546.3857192721446,-6.214608098422191
3.36,18.46,0.6,prag_emp,-548.366625683841,-6.214608098422191
3.48,18.76,0.6,prag_emp,-546.8858069035678,-6.214608098422191
3.48,18.84,0.6,prag_emp,-546.826743315025,-6.214608098422191
3.61,19.25,0.6,prag_emp,-546.1138024876072,-6.214608098422191
3.61,19.67,0.64,prag_emp,-545.7846169887848,-6.214608098422191
3.61,18.58,0.6,prag_emp,-546.4839012727584,-6.214608098422191
3.54,18.59,0.66,prag_emp,-547.016125328178,-6.214608098422191
3.54,18.89,0.6,prag_emp,-546.468569146157,-6.214608098422191
3.62,19.11,0.59,prag_emp,-546.2997701355345,-6.214608098422191
3.62,18.21,0.64,prag_emp,-546.8114539806619,-6.214608098422191
3.57,17.91,0.58,prag_emp,-547.2546692984922,-6.214608098422191
3.64,19.71,0.58,prag_emp,-546.2938827667996,-6.214608098422191
3.64,18.92,0.58,prag_emp,-546.5454250697331,-6.214608098422191
3.95,17.93,0.67,prag_emp,-548.8998816366285,-6.214608098422191
3.68,18.78,0.6,prag_emp,-546.3865468181265,-6.214608098422191
3.56,19.75,0.63,prag_emp,-545.7858049511842,-6.214608098422191
3.56,19.09,0.6,prag_emp,-546.2798186109211,-6.214608098422191
3.56,17.58,0.58,prag_emp,-547.5775070029077,-6.214608098422191
3.61,16.59,0.63,prag_emp,-548.5995914847283,-6.214608098422191
3.61,18.5,0.56,prag_emp,-547.1326606387612,-6.214608098422191
3.61,19.57,0.55,prag_emp,-547.0882078590715,-5.521460917862246
3.61,18.18,0.62,prag_emp,-546.7286783202784,-6.214608098422191
3.61,18.7,0.61,prag_emp,-546.3472250346098,-6.214608098422191
3.38,19.96,0.73,prag_emp,-549.5396998193416,-6.214608098422191
3.62,19.47,0.65,prag_emp,-545.9741176366414,-6.214608098422191
3.62,18.72,0.6,prag_emp,-546.3874280161331,-6.214608098422191
3.65,19.86,0.65,prag_emp,-545.7756054738605,-6.214608098422191
3.65,18.07,0.58,prag_emp,-546.994675563738,-6.214608098422191
3.65,17.65,0.58,prag_emp,-547.2909452726985,-6.214608098422191
3.65,17.07,0.66,prag_emp,-548.3401036189839,-6.214608098422191
3.37,18.9,0.57,prag_emp,-548.1785312905239,-6.214608098422191
3.37,17.77,0.6,prag_emp,-548.9853806792423,-6.214608098422191
3.8,18,0.62,prag_emp,-547.1755243383944,-6.214608098422191
3.8,16.63,0.55,prag_emp,-548.7456600249665,-6.214608098422191
3.8,16.86,0.57,prag_emp,-548.2801561681177,-6.214608098422191
3.8,16.98,0.58,prag_emp,-548.0821373939768,-6.214608098422191
3.8,16.67,0.55,prag_emp,-548.7160091153451,-6.214608098422191
3.59,17.21,0.59,prag_emp,-547.7459730599433,-6.214608098422191
3.67,17.21,0.61,prag_emp,-547.5406656819337,-6.214608098422191
3.5,17.45,0.58,prag_emp,-548.0627398274025,-6.214608098422191
3.5,19.03,0.57,prag_emp,-546.9950741686604,-6.214608098422191
3.6,18.72,0.58,prag_emp,-546.652574084827,-6.214608098422191
3.6,18.29,0.57,prag_emp,-547.0570972541578,-6.214608098422191
3.88,19.37,0.64,prag_emp,-547.1203749979901,-6.214608098422191
3.88,18.29,0.59,prag_emp,-547.7310957623325,-6.214608098422191
3.88,19.7,0.61,prag_emp,-547.1615098488581,-6.214608098422191
3.8,19.95,0.68,prag_emp,-546.8254664298325,-6.214608098422191
3.8,19.34,0.62,prag_emp,-546.5154364243203,-5.521460917862246
