alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
35.47,6.28,0.48,prag_emp,-308.6165556916431,-6.214608098422191
35.4,6.28,0.47,prag_emp,-308.09851590845517,-6.214608098422191
39.13,6.28,0.42,prag_emp,-306.2508574562222,-6.214608098422191
37.81,6.28,0.31,prag_emp,-306.8842907689322,-6.214608098422191
37.35,6.28,0.45,prag_emp,-307.20832926919616,-6.214608098422191
39.46,6.17,0.38,prag_emp,-305.6448755343773,-6.214608098422191
38.36,6.17,0.4,prag_emp,-305.87084997445044,-6.214608098422191
39.92,6.17,0.3,prag_emp,-306.8963298893493,-6.214608098422191
38.83,6.17,0.37,prag_emp,-305.61204657661403,-6.214608098422191
35.15,6.17,0.35,prag_emp,-305.7083753592566,-6.214608098422191
35.83,5.98,0.39,prag_emp,-306.67955803469636,-6.214608098422191
38.74,5.98,0.31,prag_emp,-307.04146155743797,-6.214608098422191
38.62,6.05,0.34,prag_emp,-306.10419084863776,-6.214608098422191
38.01,6.05,0.38,prag_emp,-306.0556780561526,-6.214608098422191
39.05,6.05,0.35,prag_emp,-306.0127673400482,-6.214608098422191
37.91,6.05,0.39,prag_emp,-306.17481364603356,-6.214608098422191
37.82,6.2,0.4,prag_emp,-305.83134667128485,-6.214608098422191
38.17,6.2,0.36,prag_emp,-305.62926676348707,-6.214608098422191
33.86,6.2,0.45,prag_emp,-307.26829641029735,-6.214608098422191
38.09,5.94,0.44,prag_emp,-308.52839012449533,-6.214608098422191
39.86,5.94,0.42,prag_emp,-307.791427028643,-6.214608098422191
39.4,5.94,0.34,prag_emp,-306.83652567410337,-6.214608098422191
37.99,6.28,0.34,prag_emp,-306.0508129675459,-6.214608098422191
38.13,6.28,0.37,prag_emp,-305.7143702676597,-6.214608098422191
38.67,6.28,0.39,prag_emp,-305.7661848192464,-6.214608098422191
38.67,6.28,0.35,prag_emp,-305.88325935247894,-6.214608098422191
39.93,6.28,0.39,prag_emp,-305.76618481924646,-6.214608098422191
39.1,6.33,0.34,prag_emp,-306.2843438131697,-6.214608098422191
37.93,6.27,0.35,prag_emp,-305.85018563152414,-6.214608098422191
34.7,6.27,0.4,prag_emp,-305.85714391608576,-6.214608098422191
34.86,6.2,0.36,prag_emp,-305.62926676348707,-6.214608098422191
35.63,6.2,0.36,prag_emp,-305.62926676348707,-6.214608098422191
33.03,6.2,0.33,prag_emp,-306.04795650345324,-6.214608098422191
31.85,6.23,0.31,prag_emp,-306.67945670063443,-6.214608098422191
33.18,6.23,0.32,prag_emp,-306.3657772330763,-6.214608098422191
34.52,6.01,0.36,prag_emp,-306.20823198758984,-6.214608098422191
34.24,6.04,0.42,prag_emp,-306.9081840609398,-6.214608098422191
33.2,6.32,0.38,prag_emp,-305.8374486468617,-6.214608098422191
32.18,6.32,0.39,prag_emp,-305.87809753624254,-6.214608098422191
34.46,6.28,0.41,prag_emp,-306.03578999579514,-6.214608098422191
30.55,6.28,0.39,prag_emp,-305.76618481924623,-6.214608098422191
34.78,6.34,0.4,prag_emp,-306.0426102140391,-6.214608098422191
33.15,6.37,0.41,prag_emp,-306.30423948208556,-6.214608098422191
35.78,6.35,0.41,prag_emp,-306.22277897952677,-6.214608098422191
34.83,6.35,0.45,prag_emp,-307.320609777451,-6.214608098422191
35.52,6.05,0.35,prag_emp,-306.01276734004813,-6.214608098422191
35.86,6.35,0.35,prag_emp,-306.2075571672365,-6.214608098422191
37.14,6.35,0.37,prag_emp,-305.9895227398374,-6.214608098422191
35.61,6.39,0.37,prag_emp,-306.216920004668,-6.214608098422191
31.18,6.39,0.44,prag_emp,-307.1087642311495,-6.214608098422191
30.05,6.41,0.49,prag_emp,-309.38781103484246,-6.214608098422191
34.39,6.27,0.42,prag_emp,-306.2396140297095,-6.214608098422191
33.95,6.36,0.4,prag_emp,-306.1239985740896,-6.214608098422191
34.12,6.36,0.38,prag_emp,-306.01336193709614,-6.214608098422191
31.03,6.57,0.36,prag_emp,-307.99957689668355,-6.214608098422191
33.12,6.55,0.48,prag_emp,-309.63804434393194,-6.214608098422191
32.86,6.39,0.37,prag_emp,-306.21692000466794,-6.214608098422191
29.01,6.39,0.37,prag_emp,-306.2169200046656,-6.214608098422191
29.86,6.39,0.36,prag_emp,-306.31215387069955,-6.214608098422191
26.28,6.39,0.34,prag_emp,-306.6725138775558,-6.214608098422191
27.03,6.39,0.29,prag_emp,-308.551555610231,-6.214608098422191
26.03,6.09,0.31,prag_emp,-306.5869157695074,-6.214608098422191
20.85,6.09,0.39,prag_emp,-305.96903300970325,-6.214608098422191
19.67,6.09,0.39,prag_emp,-305.9690330418593,-6.214608098422191
15.82,6.09,0.4,prag_emp,-306.129867436806,-6.214608098422191
21.24,6.09,0.35,prag_emp,-305.85173629645993,-6.214608098422191
21.15,6.09,0.36,prag_emp,-305.8014505209456,-6.214608098422191
18.04,6.09,0.33,prag_emp,-306.1125856584327,-6.214608098422191
17.97,6.09,0.32,prag_emp,-306.32313381348166,-6.214608098422191
26.11,6.09,0.32,prag_emp,-306.3231336637153,-6.214608098422191
26.14,6.09,0.43,prag_emp,-306.9198905441261,-6.214608098422191
26.14,6.09,0.41,prag_emp,-306.34236530092693,-6.214608098422191
26.12,6.09,0.46,prag_emp,-308.15679293643205,-6.214608098422191
25.51,6.28,0.39,prag_emp,-305.76618481921,-6.214608098422191
21.47,6.23,0.35,prag_emp,-305.751831093233,-6.214608098422191
21.53,6.31,0.34,prag_emp,-306.18096079459553,-6.214608098422191
20.68,6.31,0.39,prag_emp,-305.8452959828058,-6.214608098422191
25.83,6.31,0.38,prag_emp,-305.8014359298307,-6.214608098422191
19.2,6.31,0.33,prag_emp,-306.4150106279705,-6.214608098422191
23.15,6.31,0.33,prag_emp,-306.41501071769505,-6.214608098422191
21.28,6.26,0.42,prag_emp,-306.2315848127341,-6.214608098422191
22.16,6.24,0.4,prag_emp,-305.8261442057501,-6.214608098422191
19.53,6.24,0.4,prag_emp,-305.82614419964693,-6.214608098422191
23.41,6.13,0.45,prag_emp,-307.4928838406261,-6.214608098422191
24.15,6.13,0.39,prag_emp,-305.82164129908193,-6.214608098422191
22.42,6.48,0.42,prag_emp,-307.1217426980423,-6.214608098422191
20.03,6.28,0.34,prag_emp,-306.0508129408151,-6.214608098422191
15.96,6.28,0.36,prag_emp,-305.7711219363739,-6.214608098422191
15.89,6.28,0.41,prag_emp,-306.0357889678022,-6.214608098422191
18.68,6.28,0.41,prag_emp,-306.03578994784135,-6.214608098422191
16.76,6.28,0.45,prag_emp,-307.2083291367205,-6.214608098422191
15.11,6.28,0.45,prag_emp,-307.20832845754495,-6.214608098422191
15.88,6.28,0.39,prag_emp,-305.7661833872737,-6.214608098422191
17.04,6.28,0.41,prag_emp,-306.03578970519027,-6.214608098422191
18.56,6.28,0.41,prag_emp,-306.03578994108364,-6.214608098422191
19.56,6.06,0.42,prag_emp,-306.77638870007047,-6.214608098422191
20.17,6.06,0.4,prag_emp,-306.28622079751847,-6.214608098422191
17.3,6.06,0.32,prag_emp,-306.40961714975396,-6.214608098422191
17.02,6.44,0.32,prag_emp,-307.7092814032359,-6.214608098422191
15.42,5.88,0.33,prag_emp,-307.53942036522466,-6.214608098422191
13.85,5.88,0.31,prag_emp,-307.88505801526327,-6.214608098422191
13.41,5.97,0.34,prag_emp,-306.58877417311624,-6.214608098422191
17.61,5.97,0.38,prag_emp,-306.62813451892583,-6.214608098422191
10.88,5.97,0.29,prag_emp,-307.7141565114811,-6.214608098422191
7.1,6.34,0.39,prag_emp,-305.91266980156814,-6.214608098422191
9.93,6.34,0.42,prag_emp,-306.3832798707103,-6.214608098422191
11.24,6.27,0.34,prag_emp,-306.0137778215303,-6.214608098422191
10.59,6.44,0.4,prag_emp,-306.56995303048484,-6.214608098422191
10.69,6.44,0.4,prag_emp,-306.5701140196893,-6.214608098422191
9.51,6.44,0.4,prag_emp,-306.5664362328901,-6.214608098422191
6.68,6.44,0.42,prag_emp,-306.753653390541,-6.214608098422191
5.7,6.21,0.42,prag_emp,-306.3247294530698,-6.214608098422191
7.05,6.21,0.4,prag_emp,-305.83194856627256,-6.214608098422191
7.98,6.21,0.35,prag_emp,-305.71939525836524,-6.214608098422191
8.37,6.21,0.41,prag_emp,-306.0084031743082,-6.214608098422191
8.48,6.21,0.36,prag_emp,-305.6334092037614,-6.214608098422191
5.68,6.21,0.27,prag_emp,-308.2288443273897,-6.214608098422191
8.09,6.21,0.33,prag_emp,-306.05803922109624,-6.214608098422191
9.56,6.21,0.36,prag_emp,-305.63448854753926,-6.214608098422191
10.23,6.21,0.31,prag_emp,-306.62142552355914,-6.214608098422191
11.8,5.81,0.34,prag_emp,-308.3471630160882,-6.214608098422191
10.09,6.34,0.34,prag_emp,-306.3386972901473,-6.214608098422191
13.06,6.34,0.35,prag_emp,-306.15134578994645,-6.214608098422191
8.35,6.34,0.35,prag_emp,-306.1371980064065,-6.214608098422191
9.98,6.34,0.39,prag_emp,-305.95144674115943,-6.214608098422191
9.43,6.34,0.39,prag_emp,-305.9499703973848,-6.214608098422191
14.54,6.34,0.32,prag_emp,-306.88742393621396,-6.214608098422191
16.94,6.44,0.32,prag_emp,-307.70928122747404,-6.214608098422191
20.14,5.87,0.33,prag_emp,-307.6527595437835,-6.214608098422191
17.99,5.88,0.32,prag_emp,-307.6864399739642,-6.214608098422191
17.59,5.88,0.31,prag_emp,-307.8849977565837,-6.214608098422191
22.59,6.05,0.3,prag_emp,-306.9997909557901,-6.214608098422191
25.18,6.05,0.3,prag_emp,-306.99979095457786,-6.214608098422191
27.21,6.05,0.37,prag_emp,-305.98873165381946,-6.214608098422191
27.78,6.45,0.32,prag_emp,-307.8088786793834,-6.214608098422191
32.26,6.45,0.41,prag_emp,-306.7504689033758,-6.214608098422191
35.29,6.45,0.41,prag_emp,-306.7504689033759,-6.214608098422191
32.16,6.22,0.44,prag_emp,-306.8494123551207,-6.214608098422191
35.82,6.22,0.32,prag_emp,-306.3391074800325,-6.214608098422191
39.89,6.22,0.44,prag_emp,-306.84941235512076,-6.214608098422191
39.89,6.36,0.43,prag_emp,-306.70000287764236,-6.214608098422191
38.14,6.36,0.33,prag_emp,-306.71709446584174,-6.214608098422191
37.26,6.36,0.41,prag_emp,-306.26197678063073,-6.214608098422191
38.48,6.21,0.4,prag_emp,-305.82500038942214,-6.214608098422191
35.09,6.21,0.37,prag_emp,-305.60126650676153,-6.214608098422191
36.82,6.2,0.35,prag_emp,-305.7142747218087,-6.214608098422191
34.55,6.2,0.43,prag_emp,-306.5401388369298,-6.214608098422191
34.76,6.23,0.3,prag_emp,-307.0470450401189,-6.214608098422191
36.65,5.99,0.35,prag_emp,-306.3699378457688,-6.214608098422191
36.93,6.58,0.4,prag_emp,-307.80182862574867,-6.214608098422191
35.63,6.58,0.46,prag_emp,-309.0350511372648,-6.214608098422191
34.31,6.29,0.41,prag_emp,-306.05300609248474,-6.214608098422191
37.28,6.42,0.42,prag_emp,-306.73514806364835,-6.214608098422191
39.76,6.42,0.38,prag_emp,-306.37072056010015,-6.214608098422191
39.53,6.23,0.38,prag_emp,-305.63108222414206,-6.214608098422191
38.67,6.14,0.37,prag_emp,-305.6571310031377,-6.214608098422191
38.1,6.03,0.34,prag_emp,-306.2016764678412,-6.214608098422191
