alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
3.59,23.1,0.63,prag_emp,-545.1844988217097,-6.214608098422191
3.4,22.11,0.66,prag_emp,-545.8142017809295,-6.214608098422191
3.4,21.25,0.59,prag_emp,-546.4606982905395,-6.214608098422191
3.4,22.7,0.59,prag_emp,-546.3342579649899,-6.214608098422191
3.4,21.55,0.72,prag_emp,-547.7662601328216,-6.214608098422191
3.68,24.75,0.66,prag_emp,-545.756515087352,-6.214608098422191
3.68,22.35,0.69,prag_emp,-545.8531227305606,-6.214608098422191
3.68,22.65,0.65,prag_emp,-545.3395636289405,-6.214608098422191
3.68,23.76,0.67,prag_emp,-545.5642223829959,-6.214608098422191
3.68,21.66,0.65,prag_emp,-545.3526799366479,-6.214608098422191
3.68,20.58,0.61,prag_emp,-545.7061499856017,-6.214608098422191
4.03,22.32,0.65,prag_emp,-549.0380236297558,-6.214608098422191
3.43,23.2,0.69,prag_emp,-545.8971748249505,-6.214608098422191
3.36,21.38,0.65,prag_emp,-546.3779668438875,-6.214608098422191
3.74,21.17,0.7,prag_emp,-546.636631660462,-6.214608098422191
3.43,24.27,0.64,prag_emp,-545.4064867818485,-6.214608098422191
3.46,23.62,0.64,prag_emp,-545.232863383734,-6.214608098422191
3.46,24.69,0.64,prag_emp,-545.3633112401835,-6.214608098422191
3.46,21.95,0.64,prag_emp,-545.3607419506217,-6.214608098422191
3.46,23.55,0.62,prag_emp,-545.4517324770875,-6.214608098422191
3.46,23.84,0.66,prag_emp,-545.2350191068217,-6.214608098422191
3.46,26.35,0.69,prag_emp,-546.0149445343826,-6.214608098422191
3.46,24.89,0.67,prag_emp,-545.3994396663994,-6.214608098422191
3.46,23.96,0.68,prag_emp,-545.4707995901936,-6.214608098422191
3.7,21.05,0.61,prag_emp,-545.7489091358312,-6.214608098422191
3.7,21.43,0.66,prag_emp,-545.5294010064877,-6.214608098422191
3.7,21.63,0.6,prag_emp,-545.9644126628315,-6.214608098422191
3.58,20,0.6,prag_emp,-545.8411063765282,-6.214608098422191
3.58,20.58,0.6,prag_emp,-545.6900317320964,-6.214608098422191
3.58,22.25,0.65,prag_emp,-545.0616413551198,-6.214608098422191
3.58,22.05,0.68,prag_emp,-545.4339021185558,-6.214608098422191
3.58,24.1,0.68,prag_emp,-545.3689058063225,-6.214608098422191
3.23,22.99,0.63,prag_emp,-547.6003575897279,-6.214608098422191
3.71,23.73,0.57,prag_emp,-547.7577044207522,-6.214608098422191
3.71,21.33,0.62,prag_emp,-545.6534563416672,-6.214608098422191
3.35,21.13,0.62,prag_emp,-546.5779837802587,-6.214608098422191
3.35,22.39,0.6,prag_emp,-546.5180194249307,-6.214608098422191
3.35,23.68,0.61,prag_emp,-546.2912073771695,-6.214608098422191
3.51,22.11,0.69,prag_emp,-545.7634720366602,-6.214608098422191
3.51,20.33,0.65,prag_emp,-545.7509692576706,-6.214608098422191
3.89,25.11,0.65,prag_emp,-548.1383993656746,-6.214608098422191
3.89,26.01,0.67,prag_emp,-548.572140755906,-6.214608098422191
3.89,26.37,0.67,prag_emp,-548.7879983767559,-6.214608098422191
3.89,26.8,0.64,prag_emp,-549.360435105481,-6.214608098422191
3.85,26.95,0.64,prag_emp,-548.8791257935465,-6.214608098422191
3.85,29.23,0.61,prag_emp,-551.7410259356624,-6.214608098422191
3.61,29.63,0.7,prag_emp,-548.2070840229673,-6.214608098422191
3.61,29.33,0.65,prag_emp,-547.7710508089921,-6.214608098422191
3.61,32.11,0.63,prag_emp,-550.4417127846393,-6.214608098422191
3.61,30.78,0.63,prag_emp,-549.3244919597458,-6.214608098422191
3.34,26.19,0.69,prag_emp,-546.5797096175274,-6.214608098422191
3.34,26.23,0.7,prag_emp,-546.8538905099101,-6.214608098422191
3.34,26.07,0.63,prag_emp,-546.4105298224968,-6.214608098422191
3.86,24.69,0.63,prag_emp,-547.8154936329568,-6.214608098422191
3.86,22.55,0.63,prag_emp,-546.9461561516569,-6.214608098422191
3.86,21.13,0.64,prag_emp,-546.6662945561894,-6.214608098422191
3.86,20.02,0.64,prag_emp,-546.7714842604676,-6.214608098422191
3.58,18.72,0.58,prag_emp,-546.6870487926492,-6.214608098422191
