model,likelihood
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
null_unif, -1231.0293926746388
lit_unif, -848.0875487571986
lit_unif, -848.7282404170419
lit_unif, -847.6816878874054
lit_unif, -849.398560457022
lit_unif, -850.1587989298513
lit_unif, -847.5647375460983
lit_unif, -847.9342139820401
lit_unif, -847.6754806035229
lit_unif, -848.076140050571
lit_unif, -847.6107283719741
lit_unif, -848.2864072907151
lit_unif, -847.6052441816198
lit_unif, -850.0701904872782
lit_unif, -848.4505177687386
lit_unif, -849.6093169223575
lit_unif, -848.6875340127131
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
null_emp, -1231.0293926746388
prag_unif, -587.5651150876652
prag_unif, -591.0148411387751
prag_unif, -586.476427312484
prag_unif, -587.5055368775652
prag_unif, -587.7392348580144
prag_unif, -588.26569809285
prag_unif, -586.9476231894031
prag_unif, -589.7144674013991
prag_unif, -586.8777380497344
prag_unif, -586.9795711645647
prag_unif, -588.1447597884178
prag_unif, -587.7333695678445
prag_unif, -587.1257849364733
prag_unif, -586.8612250551702
prag_unif, -589.4588747523866
prag_unif, -588.4019008786362
lit_emp, -769.3443602915535
lit_emp, -767.6598619650971
lit_emp, -766.8690938712512
lit_emp, -766.009535398985
lit_emp, -766.4199036433014
lit_emp, -768.8536524407888
lit_emp, -768.0407409519105
lit_emp, -767.1656576319673
lit_emp, -766.9732635105802
lit_emp, -769.0956799244375
lit_emp, -766.7239129596453
lit_emp, -768.0262239088843
lit_emp, -766.1523405833652
lit_emp, -766.9416595947499
lit_emp, -768.7955956879288
lit_emp, -768.1816078519074
prag_emp, -553.9074884630477
prag_emp, -552.7133305017371
prag_emp, -554.683976914951
prag_emp, -555.3786841538614
prag_emp, -554.3850701502503
prag_emp, -553.5006895188571
prag_emp, -554.151359921741
prag_emp, -556.1589939999934
prag_emp, -554.2578277053796
prag_emp, -556.5950872252089
prag_emp, -554.3345933500732
prag_emp, -554.1806934190189
prag_emp, -554.3115647513282
prag_emp, -552.7739769745511
prag_emp, -554.1199377537392
prag_emp, -553.7990223617525
