model,likelihood
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
null_unif, -1025.8578272285317
lit_unif, -345.3384644184064
lit_unif, -344.8823497204779
lit_unif, -343.85682771406834
lit_unif, -343.81813623139027
lit_unif, -343.70106817818083
lit_unif, -344.03043414533136
lit_unif, -344.3461597025451
lit_unif, -344.0226493402191
lit_unif, -344.0451819200954
lit_unif, -344.4706300627731
lit_unif, -343.75446902816725
lit_unif, -344.4863993953874
lit_unif, -344.4205432272038
lit_unif, -343.8691853001148
lit_unif, -344.0576970740163
lit_unif, -344.1679785856108
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
null_emp, -1025.8578272285317
prag_unif, -342.03722391350084
prag_unif, -342.13838585196163
prag_unif, -343.93247906974517
prag_unif, -342.9246102147973
prag_unif, -344.7594590035797
prag_unif, -342.78473266329337
prag_unif, -343.8250265535162
prag_unif, -343.96876173644296
prag_unif, -342.68271024562955
prag_unif, -343.6187265232134
prag_unif, -343.4071377914726
prag_unif, -342.72571319816416
prag_unif, -341.75165130028216
prag_unif, -341.9379747628501
prag_unif, -341.63842565985277
prag_unif, -343.0912937007352
lit_emp, -331.37277998470404
lit_emp, -328.40985973067615
lit_emp, -329.91035687503427
lit_emp, -330.12697066884306
lit_emp, -328.30168997228907
lit_emp, -329.13924907214727
lit_emp, -329.39048502144595
lit_emp, -327.6262621263481
lit_emp, -327.85623194221944
lit_emp, -327.6607960860631
lit_emp, -328.1846347059422
lit_emp, -328.8273785047009
lit_emp, -331.80302777994746
lit_emp, -331.22520387462004
lit_emp, -328.820666355436
lit_emp, -330.3581296313943
prag_emp, -311.68935729913403
prag_emp, -313.1976896315105
prag_emp, -312.1673881957167
prag_emp, -311.7491943841397
prag_emp, -311.09476120554314
prag_emp, -311.8363902098196
prag_emp, -312.5000640136569
prag_emp, -313.21882121510265
prag_emp, -310.40534278630713
prag_emp, -312.5321361375481
prag_emp, -313.1942853453673
prag_emp, -311.5473667495859
prag_emp, -309.86259722687345
prag_emp, -311.14010353347754
prag_emp, -311.7301133115738
prag_emp, -311.7751087156702
