alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
4.09,22.23,0.73,lit_emp,-762.1780547972722,-6.214608098422191
4.36,23.48,0.73,lit_emp,-762.1418790099056,-6.214608098422191
4.38,21.03,0.74,lit_emp,-762.2490114935154,-6.214608098422191
4.67,17.5,0.68,lit_emp,-763.1839310898526,-6.214608098422191
4.67,18.26,0.7,lit_emp,-763.0134744486714,-6.214608098422191
4.81,20.41,0.6,lit_emp,-765.9140036563308,-6.214608098422191
4.83,21.91,0.6,lit_emp,-766.012498911986,-6.214608098422191
4.83,26.02,0.67,lit_emp,-764.0586496348994,-6.214608098422191
4.28,22.65,0.69,lit_emp,-762.1754242736976,-6.214608098422191
4.28,20.46,0.66,lit_emp,-762.649175691615,-6.214608098422191
4.28,19.5,0.6,lit_emp,-764.5238440000757,-6.214608098422191
4.29,17.33,0.62,lit_emp,-763.7664548776759,-6.214608098422191
4.29,18.25,0.71,lit_emp,-762.0465998827162,-6.214608098422191
4.29,19.28,0.75,lit_emp,-762.246472312418,-6.214608098422191
4.29,18.55,0.73,lit_emp,-762.0668025910312,-6.214608098422191
4.29,16.4,0.75,lit_emp,-762.246472312418,-6.214608098422191
4.33,12.94,0.71,lit_emp,-762.0774451613834,-6.214608098422191
4.33,11.28,0.72,lit_emp,-762.0707053756317,-6.214608098422191
4.05,7.83,0.77,lit_emp,-762.7021485729719,-6.214608098422191
4.05,9.74,0.77,lit_emp,-762.7021485729719,-6.214608098422191
3.89,11.44,0.76,lit_emp,-763.0766729224631,-6.214608098422191
4.64,11.05,0.71,lit_emp,-762.8647712356794,-6.214608098422191
4.64,12.52,0.78,lit_emp,-763.8167565421417,-6.214608098422191
4.08,12.15,0.69,lit_emp,-762.3714248970331,-6.214608098422191
4.08,13.36,0.69,lit_emp,-762.3714248970331,-6.214608098422191
4.08,14.14,0.76,lit_emp,-762.4730192420061,-6.214608098422191
4.08,12.99,0.74,lit_emp,-762.2493325355445,-6.214608098422191
4.58,9.69,0.69,lit_emp,-762.7460938801119,-6.214608098422191
4.23,13.15,0.68,lit_emp,-762.3005866987951,-6.214608098422191
4.23,11.86,0.76,lit_emp,-762.363925620116,-6.214608098422191
4.96,14.66,0.71,lit_emp,-764.4774514997954,-6.214608098422191
4.27,13.64,0.71,lit_emp,-762.0381021748088,-6.214608098422191
4.27,13.59,0.62,lit_emp,-763.7669992063295,-6.214608098422191
4.27,16.11,0.72,lit_emp,-762.0273601241031,-6.214608098422191
4.27,14.68,0.82,lit_emp,-764.2320154805869,-6.214608098422191
3.81,14.17,0.76,lit_emp,-763.5119959576676,-6.214608098422191
3.83,12.24,0.64,lit_emp,-764.576967004367,-6.214608098422191
4.56,8.3,0.65,lit_emp,-763.3335025771775,-6.214608098422191
3.76,9.89,0.71,lit_emp,-763.7587379350482,-6.214608098422191
3.85,6.05,0.72,lit_emp,-763.091243791457,-6.214608098422191
4.24,11.63,0.72,lit_emp,-762.0214623599431,-6.214608098422191
4.24,8.11,0.7,lit_emp,-762.0850836734389,-6.214608098422191
3.84,8.79,0.66,lit_emp,-763.9660147178943,-6.214608098422191
3.84,11.99,0.59,lit_emp,-766.4184581195137,-6.214608098422191
3.84,11.06,0.66,lit_emp,-763.9660147178943,-6.214608098422191
3.84,9.28,0.78,lit_emp,-763.6647286539172,-6.214608098422191
3.84,6.28,0.68,lit_emp,-763.5563803726536,-6.214608098422191
3.84,7.38,0.67,lit_emp,-763.7444164433404,-6.214608098422191
3.83,4.42,0.69,lit_emp,-763.4674973729025,-6.214608098422191
