alpha_A,alpha_Q,w,modelType,logLikelihood,posteriorProb
3.45,21.48,0.63,prag_emp,-545.5543028621545,-6.214608098422191
3.59,19.76,0.6,prag_emp,-545.9150342606309,-6.214608098422191
3.34,24.79,0.69,prag_emp,-546.46377089739,-6.214608098422191
3.34,29.52,0.67,prag_emp,-547.439315951145,-6.214608098422191
3.34,28.17,0.62,prag_emp,-547.4168641968646,-6.214608098422191
3.67,29.66,0.64,prag_emp,-548.7196086876339,-6.214608098422191
3.58,28.56,0.69,prag_emp,-547.1506193914688,-6.214608098422191
3.58,26.26,0.61,prag_emp,-546.6737311601058,-6.214608098422191
3.58,26.04,0.67,prag_emp,-545.7325024621086,-6.214608098422191
3.58,24.26,0.66,prag_emp,-545.1960269384465,-6.214608098422191
3.5,24.89,0.65,prag_emp,-545.2715708644515,-6.214608098422191
3.45,22.81,0.68,prag_emp,-545.616765193441,-6.214608098422191
3.45,21.07,0.65,prag_emp,-545.730682849384,-6.214608098422191
3.45,22.18,0.62,prag_emp,-545.4965146405787,-6.214608098422191
3.4,23.54,0.64,prag_emp,-545.5361387317665,-6.214608098422191
3.95,22.98,0.68,prag_emp,-548.2263084131694,-6.214608098422191
3.97,20.99,0.67,prag_emp,-548.1045271551919,-6.214608098422191
3.55,19.63,0.7,prag_emp,-547.1760083489991,-6.214608098422191
3.7,19.63,0.69,prag_emp,-546.782438168501,-6.214608098422191
3.7,20.13,0.62,prag_emp,-545.7677289579232,-6.214608098422191
3.98,19.38,0.71,prag_emp,-549.660985765174,-6.214608098422191
3.69,20.88,0.71,prag_emp,-546.8696252498164,-6.214608098422191
3.69,23.89,0.6,prag_emp,-546.5122139706942,-6.214608098422191
3.69,23.91,0.61,prag_emp,-546.226222321126,-6.214608098422191
3.69,23.73,0.69,prag_emp,-545.9499982173425,-6.214608098422191
3.69,20.48,0.62,prag_emp,-545.6512194550152,-6.214608098422191
3.46,21.66,0.6,prag_emp,-545.8158596901302,-6.214608098422191
3.46,22.13,0.64,prag_emp,-545.3251507135074,-6.214608098422191
3.46,24.9,0.65,prag_emp,-545.3413462356355,-6.214608098422191
3.46,24.92,0.66,prag_emp,-545.3419676335361,-6.214608098422191
3.46,24.6,0.69,prag_emp,-545.7049250444496,-6.214608098422191
3.62,25.66,0.68,prag_emp,-545.8587139907963,-6.214608098422191
3.62,26.38,0.67,prag_emp,-546.0417680355145,-6.214608098422191
3.31,26.76,0.65,prag_emp,-546.6252783707052,-6.214608098422191
3.31,26.57,0.68,prag_emp,-546.7214686173972,-6.214608098422191
3.43,26.95,0.7,prag_emp,-546.5188028832256,-6.214608098422191
3.43,25.38,0.68,prag_emp,-545.7052707574526,-6.214608098422191
3.59,24.92,0.67,prag_emp,-545.4185515963078,-6.214608098422191
3.59,25.73,0.62,prag_emp,-546.1662316361505,-6.214608098422191
3.59,23.35,0.65,prag_emp,-545.0816527721171,-6.214608098422191
3.59,21.5,0.67,prag_emp,-545.3772899798328,-6.214608098422191
3.59,21.45,0.68,prag_emp,-545.580169301245,-6.214608098422191
3.59,24.5,0.65,prag_emp,-545.278477550719,-6.214608098422191
3.59,21.06,0.64,prag_emp,-545.2495324194422,-6.214608098422191
3.67,21.88,0.7,prag_emp,-546.1691140132942,-6.214608098422191
3.67,21.26,0.69,prag_emp,-546.0053459495193,-6.214608098422191
3.67,19.79,0.57,prag_emp,-546.5865371950728,-6.214608098422191
3.67,21.09,0.7,prag_emp,-546.3651846906508,-6.214608098422191
3.74,20.89,0.58,prag_emp,-546.643675063067,-6.214608098422191
3.72,22.72,0.63,prag_emp,-545.7065726346025,-6.214608098422191
3.72,21.24,0.66,prag_emp,-545.656542908842,-6.214608098422191
3.59,21.26,0.68,prag_emp,-545.6392029674655,-6.214608098422191
3.59,22.28,0.6,prag_emp,-545.6322567534147,-6.214608098422191
3.59,21.08,0.6,prag_emp,-545.6184233173959,-6.214608098422191
3.44,18.64,0.67,prag_emp,-547.9144995166968,-6.214608098422191
3.44,20.68,0.64,prag_emp,-545.9197580741848,-6.214608098422191
3.44,21.73,0.64,prag_emp,-545.5274115549747,-6.214608098422191
3.51,22.91,0.65,prag_emp,-545.0680792626147,-6.214608098422191
3.51,22.47,0.72,prag_emp,-546.7815153343732,-6.214608098422191
3.47,24.86,0.62,prag_emp,-545.6781780143234,-6.214608098422191
3.47,22.11,0.65,prag_emp,-545.2957933183894,-6.214608098422191
3.47,25.09,0.65,prag_emp,-545.3570599076461,-6.214608098422191
3.47,25.19,0.71,prag_emp,-546.3603175028261,-6.214608098422191
3.47,25.03,0.64,prag_emp,-545.4135156176969,-6.214608098422191
3.47,24.17,0.74,prag_emp,-547.8001325294213,-6.214608098422191
3.47,25.67,0.65,prag_emp,-545.5038820479105,-6.214608098422191
3.35,24.71,0.69,prag_emp,-546.373052193467,-6.214608098422191
3.73,24.89,0.68,prag_emp,-546.3169599579996,-6.214608098422191
3.43,23.96,0.68,prag_emp,-545.6057384485042,-6.214608098422191
3.42,21.69,0.6,prag_emp,-546.0389926473125,-6.214608098422191
3.36,21.73,0.64,prag_emp,-546.1930509861866,-6.214608098422191
